PHENO,V(G),SE(V(G)),V(e),SE(V(e),Vp,SE(vp),V(G)_to_Vp,SE(V(G)_to_Vp),logL,logL0,LRT,df,Pval,n
410_ELF1,0.000000,0.425695,0.310349,0.418593,0.310350,0.060237,0.000001,1.371661,0.922,0.965,0.000,1,0.5,53
411_ERCC3,0.000000,0.844896,0.290573,0.855900,0.290573,0.058036,0.000001,2.907690,4.455,4.457,0.000,1,0.5,53
412_ERG,0.461812,2.082774,0.000001,2.109016,0.461812,0.092302,0.999999,4.566827,-10.455,-10.485,0.062,1,0.402,51
413_ESR1,0.000000,1.132012,0.431919,1.147233,0.431919,0.085966,0.000001,2.620886,-5.905,-5.904,0.000,1,0.5,53
414_ETV3,0.364793,2.076727,0.000000,2.101167,0.364794,0.071707,0.999999,5.759876,-5.632,-5.513,0.000,1,0.5,53
415_FOXJ1,0.161235,0.313071,0.000000,0.312590,0.161235,0.031623,0.999999,1.938724,19.202,19.185,0.035,1,0.4261,53
416_p-IRS-1._S612_,0.000000,0.754314,0.382951,0.758659,0.382951,0.075152,0.000001,1.969739,-2.997,-2.997,0.000,1,0.5,53
417_p-Mek_1-2_._S217-221_,0.000001,1.023434,0.512127,1.034629,0.512127,0.100936,0.000001,1.998397,-10.427,-10.427,0.000,1,0.5,53
418_MAZ,0.000000,0.499244,0.248406,0.503673,0.248407,0.048881,0.000001,2.009787,8.355,8.356,0.000,1,0.5,53
419_NFE2L3,0.219933,0.847186,0.000000,0.860181,0.219933,0.043194,0.999999,3.911097,8.198,8.101,0.195,1,0.3294,53
420_NFIC,0.000001,5.216662,0.728973,5.240689,0.728973,0.168651,0.000001,7.156176,-14.522,-14.495,0.000,1,0.5,41
421_OSR1,0.237282,0.426713,0.050480,0.426006,0.287763,0.056461,0.824576,1.478956,4.180,4.071,0.219,1,0.32,53
422_p-PDK1._S241_,0.250362,0.835395,0.000000,0.845548,0.250363,0.049144,0.999999,3.377295,6.326,6.176,0.301,1,0.2916,53
